code;name;net;status;order;clazz;active
N230105233000001;ДОМОВОЙ_ИП Еременко А.В._г_Славянск-на-Кубани_ул_Ковтюха_д_109;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230103665000001;"Ювелирный магазин ""КАМЕЯ"" ИП Кучерова Н.Г., г.Славянск-на-Кубани, ул.Ковтюха, д.39";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230104194000001;"""Системы безопасности"", ИП Завгородний В.В., г.Славянск-на-Кубани, ул.Ленина,д.111";Независимые торговцы;Документы получены;3 порядок;4 порядок;Заблокирована
N230104535000001;"Магазин ""CITY"", ИП Маркушин С.В., г. Славянск-на-Кубани, ул. Школьная, д. 264";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230102556000002;"""Главный инженер"", ИП Лукьяненко А.В., г. Славянск-на-Кубани, ул. Красная, д. 162/4";Независимые торговцы;Документы получены;3 порядок;4 порядок;Заблокирована
N230101874000011;"ТСЦ ""Виктория"" ИП Середа С.Н., г.Славянск-на-Кубани, ул.Школьная, д.339";Независимые торговцы;Документы получены;3 порядок;4 порядок;Заблокирована
N230103517000001;"Магазин ""Лидер"" ИП Гараж А.И.  ст.Петровская, ул.Красная, д.29";Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230103842000001;"""Строй-Маркет"" ООО ""СТРОЙ-МАРКЕТ"", г.Славянск-на-Кубани, ул.Ленина, д.33";Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230104156000002;"""Мир дверей"", ИП Кателинец А.В., г.Славянск-на-КУбани, ул.Ковтюха,д.123";Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Заблокирована
N2301232002;Магазин Вектор, ИП Журбин, г. ст. Петровская, ул. Ворошилова, д. 42, к. 2;Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Активна
N230101596000001;"Магазин ""Лидер""  ИП Ващенко Е.Е., г.Славянск-на-Кубани, ул.Полковая, д.257";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230102105000001;"""Жемчужина"" в ст. Полтавская, ИП Прусс Т.Ю., ст. Полтавская, ул. Красная, д. 133";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230102430000001;Stihl, ИП Тельнов В.А., г. Славянск-на-Кубани, ул. Пролетарская, д. 49;Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230103165000002;"""Фабрика тепла"", ИП Сухомлин Д.В., г. Славянск-на-Кубани, ул. Ленина, д. 83";Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230104871000001;Турагенство PEGAS Touristik, ИП Арнаутова Д.Ю., г. Славянск-на-Кубани, ул. Красная, д. 66;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230103209000001;"""Компас"", ИП Богма А.Н., ст.Петровская, ул. Красная, д. 28-а";Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230104959000001;"""Ростовские окна"",  ИП Мизанова И.А., г. Славянск-на-Кубани, ул.  ул. Ленина, дом 62/1";Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Активна
N230104606000001;"Магазин ""Тройка"" ИП Кабыщенко Е.В., г. Славянск-на-Кубани, ул. Краснодарская, д. 265";Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230103472000001;Специализированный центр теплоизоляции ИП Хорошун С.Л.  Краснодарский край, г.Славянск-на-Кубани, ул.Вокзальная, д.21;Независимые торговцы;Документы получены;3 порядок;4 порядок;Заблокирована
N230104667000001;"""Мобильник"", ИП Залян Х.Г., г. Славянск-на-Кубани, ул. Красная, д. 42";ЭКСПЕРТ-РИТЕИЛ Брокер;Документы получены;3 порядок;Брокер;Активна
N2301143001;"""Пульсар"", ИП Сизоненко В.И., ст. Полтавская, ул. Красная, д. 133";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N2301475002;"Магазин ""Stels-2"" ИП Федюн Ю.А.";Независимые торговцы;Документы получены;3 порядок;3 порядок;Заблокирована
N230103165000001;"""Фабрика тепла"" ИП Сухомлин Д.В. х.Трудобеликовкий";Независимые торговцы;Документы получены;3 порядок;3 порядок;Заблокирована
N230104015000001;"Магазин ""Карат"" ИП Коток П.С., г. Славянск-на-Кубани, ул. Ковтюха, д. 30";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230102556000003;"""ТермоКомфорт"", ИП Лукьяненко А.В., г. Славянск-на-Кубани, ул. Стаханова, дом 226А";Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N2301475003;"Магазин ""Веломототехника Stels"" Трудобелики";Независимые торговцы;Документы получены;3 порядок;3 порядок;Заблокирована
N230104156000001;"""Мир окон"", ИП Кателинец А.В., г. Славянск-на-КУбани, ул. Ковтюха, д. 123/1";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230102572000001;"""Googolplex"", ИП Селепанов С.А., г. Славянск-на-Кубани, ул. Ковтюха, д. 55";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230105448000001;ДОН ИНТЕР, ИП Кисиль Д.И., х. Трудобеликовский, ул. Ленина, д. 9/1;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230102686000001;"""Завод кровельных материалов"" ИП Анцупов Д.Л. в Трудобеликовком";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230101912000001;"Магазин ""Чемпион"" х. Трудобеликовский ИП Доронина М.Н.";Независимые торговцы;Документы получены;3 порядок;4 порядок;Заблокирована
N230103389000001;"ТЦ""Москва"" ИП Шапарь А.В.  Краснодарский край, г.Славянск-на-Кубани, ул.Ленина, д.113/1";Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230103300000002;"""МК Комфорт"" ООО ""МК Комфорт"", г. Славянск-на-Кубани, ул. Ковтюха, д. 43";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230105739000001;Медиа Смарт, ИП Осадчая Т.В. г. Славянск-на-Кубани, ул. Ковтюха, д. 140;Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Активна
N230106326000001;"""Качественные окна"" ИП Миненков Ю.М., Славянск-на-Кубани г, Красная ул, д. 64";Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Активна
N230105848000002;ТЦ Золотой Ключик, ИП Федюн В.Г. г. Славянск-на-Кубани, ул. Ковтюха, д. 152;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
