regcenterName;lendingOfficeName;lendingOfficeCode;type;organizationName;shopName;commercialNetName;shopCode;shopAddress;locationMessage;workingHours;latitude;longitude;order
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Метревели Вахтанг Гурамиевич;Электросклад, ИП Метревели В.Г.,г. Владикавказ, ул.Калинина/Пл.Победы, д.1, кор.1;;150100790000002;362020, Северная Осетия - Алания Респ, Владикавказ г, Калинина ул, д. 1, кор. 1;"ТТ находится в районе Танка (площадь Победы). Вход рядом с магазином ""Ир-посуда"" двухэтажное здание с внутренней стоянкой.";"Пн-Пт: 09:00-19:00 ; Сб: 09:00-19:00 ; Вс: 09:00-19:00";43.0426566;44.6559298;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Мисикова Зарина Хазбиевна;"""Ringoo"" ИП Мисикова З.Х., Владикавказ г, Ватутина ул, д. 33";;150100825000001;362025, Северная Осетия - Алания Респ, Владикавказ г, Ватутина ул, д. 33;Магазин располагается рядом с Северо-Кавказским Государственным Университетом ближе к пересечению с ул Горького, одноэтажное здание;"Пн-Пт: 10:00-19:00 ; Сб: 10:00-19:00 ; Вс: 10:00-19:00";43.0287899;44.6901779;1,2 порядок
ЮЖНЫЙ;ВОЛГОГРАД;1-4TFH-87;POS;ИП Усоян Рустам Ордиханович;"Мебельный магазин ""Milana group"", ИП Усоян Р.О., Элиста г, им Буденного С.М. ул, дом 7А";;080200327000010;358009, Калмыкия Респ, Элиста г, им Буденного С.М. ул, д. 7а;"ТЦ ""КИТ"", в мебельный магазин "" Милана групп"" (Остановка ТЦ ""КИТ"" )";"Пн-Пт: 09:00-19:00 ; Сб: 09:00-19:00 ; Вс: 09:00-19:00";46.318213;44.260407;1,2 порядок
ЮЖНЫЙ;ВОЛГОГРАД;1-4TFH-87;IPOS;Мобильный офис;NEW mIPos_Элиста_ул. Сухэ-Батора_2(ТЦ_Белый Лотос);;660103452000152;358014, Калмыкия Респ, Элиста г, им Сухэ-Батора ул, д. 2;не указано;"Пн-Пт: 09:00-21:00 ; Сб: 09:00-21:00 ; Вс: 09:00-21:00";46.3048121;44.2988014;1,2 порядок
ЮЖНЫЙ;ВОЛГОГРАД;1-4TFH-87;POS;"OOO ""АстМаркет""";"АстМаркет, ООО ""АстМаркет"", рп. Иловля, ул. Кирова, д. 42";;770102816000090;403071, Волгоградская обл, Иловлинский р-н, Иловля рп, Кирова ул, д. 42;"Магазин Астмаркет (1 этаж, кредитный отдел), находится с другой стороны ""Покупалко""";"Пн-Пт: 09:00-21:00 ; Сб: 09:00-21:00 ; Вс: 09:00-21:00";49.3044653;43.9792174;1,2 порядок
ЮЖНЫЙ;ВОЛГОГРАД;1-4TFH-87;POS;"OOO ""АстМаркет""";"Аст Маркет, ООО ""АстМаркет"", г. Ленинск, ул. Пушкина, д. 18 А";;770102816000021;404620, Волгоградская обл, Ленинский р-н, Ленинск г, Пушкина ул, д. 18 А;Отдельный магазина Астмаркет, 1 этаж, кредитный отдел (возле рынка);"Пн-Пт: 09:00-18:00 ; Сб: 09:00-17:00 ; Вс: 09:00-16:00";48.6913489;45.2070641;1,2 порядок
ЮЖНЫЙ;ВОЛГОГРАД;1-4TFH-87;POS;"OOO ""АстМаркет""";"Магазин ""Астмаркет"", ООО ""Астмаркет"", Лагань г, Жигульского ул, дом 2 В";;770102816000062;359220, Калмыкия Респ, Лаганский р-н, Лагань г, Жигульского ул, д. 2 в;"Отдельстоящий магазин ""Астмаркет"", в центре города, рядом магазин ""Покупочка""";"Пн-Пт: 09:00-18:00 ; Сб: 09:00-17:00 ; Вс: 09:00-16:00";45.3889218;47.3621386;1,2 порядок
ЮЖНЫЙ;ВОЛГОГРАД;1-4TFH-87;POS;"OOO ""АстМаркет""";"Аст Маркет, ООО ""АстМаркет"", рп Новониколаевский, пер. Привокзальный, д. 29";;770102816000035;403901, Волгоградская обл, Новониколаевский р-н, Новониколаевский рп, Привокзальный пер, д. 29;Отдельный магазина Астмаркет, 1 этаж, кредитный отдел (за углом магазина пятёрочка);"Пн-Пт: 09:00-19:00 ; Сб: 09:00-17:00 ; Вс: 09:00-16:00";50.9725774;42.3668926;1,2 порядок
ЮЖНЫЙ;ВОЛГОГРАД;1-4TFH-87;POS;ИП Черненко В.В.;"3401063001""Зебра"" , ИП Черненко В.В., г. Суровикино, ул. Ленина, д. 72";;3401063001;404412, Волгоградская обл, Суровикинский р-н, Суровикино г, Ленина ул, д. 72;"Отдельный магазин ""Зебра"", расположен около дворца культуры, рядом отделение почты, рядом магазин ТЕХНО";"Пн-Пт: 09:00-16:00 ; Сб: 09:00-16:00 ; Вс: 09:00-16:00";48.6050546;42.8433607;1,2 порядок
ЮЖНЫЙ;ВОЛГОГРАД;1-4TFH-87;POS;ИП Бурнинов Александр Геннадьевич;INSTAGRAM_KOMFORT_ИП Бурнинов А.Г.,Ики-Бурул п, Э.Шовканова ул, д. 42;;080200529000002;359130, Калмыкия Респ, Ики-Бурульский р-н, Ики-Бурул п, Э.Шовканова ул, д. 42;не указано;"Пн-Пт: 09:00-18:00 ; Сб: 09:00-18:00 ; Вс: 09:00-18:00";45.8267852;44.6437575;3 порядок
ЮЖНЫЙ;ВОЛГОГРАД;1-4TFH-87;POS;"ООО ""Прайм Групп""";"Прайм Групп, ООО ""Прайм Групп"", г. Волгоград, ул. им Кирова, д. 102";;610104376000026;400059, Волгоградская обл, Волгоград г, им Кирова ул, д. 102;Магазин расположен в жилом доме, рядом магазины Бристоль и Пятерочка (Остановка 107 школа, вниз до улицы Кирова);"Пн-Пт: 09:00-20:00 ; Сб: 09:00-20:00 ; Вс: 09:00-20:00";48.6021429;44.4272742;1,2 порядок
ЮЖНЫЙ;ВОЛГОГРАД;1-4TFH-87;POS;"OOO ""АстМаркет""";"АстМаркет, ООО ""АстМаркет"", г. Дубовка, ул. Первомайска, д. 45";;770102816000013;404002, Волгоградская обл, Дубовский р-н, Дубовка г, Первомайская ул, д. 45;Отдельный магазина Астмаркет, 1 этаж, кредитный отдел (в центре города);"Пн-Пт: 09:00-18:00 ; Сб: 09:00-16:00 ; Вс: 09:00-15:00";49.0550692;44.8251638;1,2 порядок
