sapCode;shopName;shopAddress;workingHours
LZ42;Якутск Сайсары2;677000, Саха /Якутия/ Респ, Якутск г, Лермонтова ул, дом № 62, корпус 2;Пн-Вс (10:00-20:00)
GE50;Крг Далматово;641730, Курганская обл, Далматовский р-н, Далматово г, Ленина ул, дом № 85;Пн-Вс (09:00-20:00)
S672;Псков Великие Луки Вокзальная ЕС;182100, Великие Луки г, Вокзальная 11;Пн-Вс (10:00-21:00)
X454;Амур Благовещенск Автовокзал2 ЕС;675000, Благовещенск г, 50 лет Октября ул 44Д;Пн-Вс (09:00-20:00)
L532;Видное ТЦ Галерея;142701, Московская обл, Ленинский р-н, Видное г, Ленинского Комсомола пр-кт, дом № 64а;Пн-Вс (10:00-22:00)
L508;ТЦ Саларис;142784, Москва г, Московский п, Саларьево д, Киевское шоссе 23 км, дом № 1;Пн-Вс (10:00-22:00)
LB97;РТ Самара ТЦ Аврора3;443069, Самарская обл, Самара г, Аэродромная ул, дом № 47, корпус А ТЦ Аврора;Пн-Вс (10:00-22:00)
I036;ПВЗ Крнд Клары Лучко;350089, Краснодарский край, Краснодар г, им Клары Лучко б-р, дом № 6;Пн-Вс (09:00-21:00)
LS15;Крск Норильск Кайеркан Дом быта;663340, Красноярский край, Норильск г, Школьная ул, дом № 16 Красноярский край, г. Норильск, район Кайеркан, ул. Школьная , д. 16;Пн-Вс (11:00-20:00)
U168;Члб ТЦ КС ЕС;454000, Челябинск г, Черкасская ул 15;Пн-Вс (10:00-21:00)
S809;Архск ТЦ Петромост2 ЕС;163057, Архангельск г, Ленинградский пр 255;Пн-Вс (09:00-22:00)
LT59;Ирк ТЦ Сильвермолл;664043, Иркутская обл, Иркутск г, Сергеева ул, дом № 3/5, помещение 117(А60);Пн-Вс (10:00-22:00)
N920;Хкс Аскиз ЕС;655700, Аскиз пгт, Победы ул уч. 5-2;Пн-Пт (09:00-19:00), Сб-Вс (09:00-17:00)
R066;Кинешма5 ЕС;155800, Кинешма г, Рылеевская ул 3;Пн-Вс (08:00-20:00)
RF44;Богучар2 ЕС;396790, Богучар г, Шолохова ул 1а;Пн-Вс (08:00-18:00)
GA70;ЕК Нижний Тагил ТЦ Квадрат;622000, Свердловская обл, Нижний Тагил г, ул. Пархоменко 41 (на пересечении улиц Пархоменко - Серова);Пн-Вс (10:00-21:00)
LZ46;Хаб Чегдомын;682030, Хабаровский край, Верхнебуреинский р-н, Чегдомын рп, Центральная ул, дом № 36;Пн-Вс (09:00-19:00)
U611;ХМАО Сургут ТЦ Альбатрос ЕС;628400, Сургут г, Ленина пр-кт 37;Пн-Вс (09:00-22:00)
YB58;Курск33;305007, Курская обл, Курск г, Сумская ул, дом № 44;Пн-Вс (09:00-21:00)
P576;РТ Илек ЕС;461350, Илек с, Комарова ул 26;Пн-Вс (10:00-20:00)
PD15;РТ Красный Яр2 ЕС;446370, Красный Яр с, Комсомольская ул 86;Пн-Вс (09:00-18:00)
I013;ПВЗ Крнд Селезнева2;350075, Краснодарский край, Краснодар г, им Селезнева ул, дом № 105;Пн-Вс (09:00-21:00)
L223;Белоозерский3;140250, Московская обл, Воскресенский р-н, Белоозерский пгт, Коммунальная ул, дом № 16а, стр.2;Пн-Вс (09:00-20:00)
GM65;РнД Зерноград2;347740, Ростовская обл, Зерноградский р-н, Зерноград г, им Ленина ул, дом № 20/29-а;Пн-Вс (08:00-19:00)
GE37;ЯНАО Уренгой;629860, Ямало-Ненецкий АО, Пуровский р-н, Уренгой пгт, 3-й мкр, дом № 19 А ТЦ Айсберг;Пн-Вс (09:00-21:00)
YR35;СПб ОКЕЙ Электра;190005, Санкт-Петербург г, Московский пр-кт, дом № 137, литера Б ТЦ Электра, галерея ГМ Окей;Пн-Вс (10:00-20:00)
P701;ПНЗ Кирова2 ЕС;440000, Пенза г, Кирова ул 73;Пн-Вс (09:00-21:00)
GN27;Крнд Динская2;353200, Краснодарский край, Динской р-н, Динская ст-ца, Красная ул, дом № 78/1, корпус А;Пн-Вс (08:00-20:00)
YP96;СПб Луга ТК Айсберг;188230, Ленинградская обл, Лужский р-н, Луга г, Урицкого пр-кт, дом № 77, корпус 3 ТК Айсберг;Пн-Вс (09:00-21:00)
LE68;РТ Кармаскалы Кирова;453020, Башкортостан Респ, Кармаскалинский р-н, Кармаскалы с, Кирова ул, дом № 30;Пн-Сб (09:00-19:00)
MV06;Чехов ТЦ Карнавал ЕС;142300, Чехов г, Московская ул,вл.96 "КАРНАВАЛ";Пн-Вс (10:00-22:00)
GA87;ЕК Омега2;620012, Свердловская обл, Екатеринбург г, Космонавтов пр-кт, дом № 41;Пн-Вс (09:00-21:00)
P529;РТ Оренбург Гагарина4 ЕС;460051, Оренбург г, Гагарина пр-кт 48/3;Пн-Вс (09:30-21:00)
L533;Серпухов ТЦ Атлас;142200, Московская обл, Серпухов г, Советская ул, дом № 111;Пн-Вс (10:00-22:00)
L239;Горки Десятые;143032, Московская обл, Одинцовский р-н, Горки-10 п, дом № 24А ТК Атак;Пн-Вс (10:00-20:00)
LS08;Крск Лесосибирск Белинского;662543, Красноярский край, Лесосибирск г, Белинского ул, дом № 36 пом. 76;Пн-Вс (09:00-21:00)
P178;РТ Большеустьинское2 ЕС;452550, Большеустьикинское с, Советская ул 26;Пн-Пт (09:00-18:00), Сб (09:00-17:00), Вс (10:00-17:00)
KG66;Крнд Северская Комарова ЕС;353240, Северская ст-ца, Комарова ул 11;Пн-Вс (09:00-20:00)
RH54;Липецк ТЦ Ривьера ЕС;398000, Липецк г, Московская ул и Катукова ул 51;Пн-Вс (10:00-22:00)
L128;Троицк2;142191, Москва г, Троицк г, Академическая пл, дом № 3;Пн-Вс (09:00-21:00)
U098;Крг Катайск1 ЕС;641700, Катайск г, Ленина ул 241;Пн-Вс (10:00-18:00)
P193;РТ Сорочинск Володарского ЕС;461900, Оренбургская обл., г. Сорочинск, ул. Володарского, д. 16, корп. А;Пн-Вс (09:00-20:00)
P417;РТ Приютово К.Маркса2 ЕС;452017, Приютово рп, Карла Маркса ул 11;Пн-Вс (09:00-20:00)
YO41;Архск Мирный;164170, Архангельская обл, Мирный г, Гагарина ул, дом № 13, помещение 51-Н;Пн-Вс (09:00-19:00)
