partnerCode;shopName;shopAddress;workingHours;latitude;longitude
GA86;ЕК ОКЕЙ Бабушкина;620017, Свердловская обл, Екатеринбург г, Бабушкина ул, дом № 2 ТЦ ОКЕЙ;Пн-Вс (10:00-20:00);56,882047;60,630523
GC22;Тмн ОКЕЙ;625000, Тюменская обл, Тюмень г, Широтная ул, дом № 199 ТЦ О'КЕЙ;Пн-Вс (10:00-22:00);57,096457;65,624744
GA48;ЕК Качканар2;624351, Свердловская обл, Качканар г, Свердлова ул, дом № 7 г;Пн-Вс (10:00-19:00);58,704551;59,479138
GN90;Крнд Сочи Море Молл;354068, Краснодарский край, Сочи г, Новая Заря ул, дом № 7;Пн-Вс (10:00-22:00);43,605987;39,73256
GM29;КЧР Черкесск ТЦ Россия;369000, Карачаево-Черкесская Респ, Черкесск г, Ленина пр-кт, дом № 25;Пн-Вс (10:00-21:00);44,224252;42,047278
S643;Карел Кемь ЕС;186615, Кемь г, пр. Пролетарский 41;Пн-Вс (09:00-20:00);64,95481;34,59473
P451;РТ Стерлитамак ТЦ Фабри2 ЕС;453117, Стерлитамак г, Худайбердина ул 120;Пн-Вс (10:00-22:00);53,62821;55,94014
GL91;Крнд Адлер ТЦ Новый век2;354340, Краснодарский край, Сочи г, Демократическая ул, дом № 52 ТЦ Новый Век;Пн-Вс (10:00-21:00);43,426449;39,927617
GM66;РнД Золотой Вавилон;344000, Ростовская обл, Ростов-на-Дону г, Малиновского ул, дом № 25;Пн-Вс (10:00-22:00);47,230727;39,610553
YB55;Курск27;305000, Курская обл, Курск г, Дружбы пр-кт, дом № 9а;Пн-Вс (09:00-21:00);51,742475;36,133532
GB06;ЕК Ревда3;623280, Свердловская обл, Ревда г, Цветников ул, дом № 39 А ТЦ Квартал;Пн-Вс (10:00-20:00);56,796917;59,916354
YC41;Покров2;601122, Владимирская обл, Петушинский р-н, Покров г, Ленина ул, дом № 47;Пн-Вс (09:00-19:00);55,918422;39,183582
YB57;Курск31;305040, Курская обл, Курск г, Студенческая ул, дом № 1;Пн-Вс (10:00-22:00);51,741726;36,145697
YO86;Карел Сортавала;186790, Карелия Респ, Сортавала г, Кирова ул, дом № 6;Пн-Вс (09:00-20:00);61,702553;30,694039
L087;Павелецкая4;115054, Москва г, Павелецкая пл, дом № 2 стр 3;Пн-Вс (09:00-22:00);55,730424;37,634836
LZ33;Якутия Сунтар;678290, Саха /Якутия/ Респ, Сунтарский у, Сунтар с, Октябрьская ул, дом № 57,корпус 2;Пн-Сб (09:00-18:00);62,157292;117,650025
SD07;Вновг Боровичи Коммунарная ЕС;174411, Боровичи г, Коммунарная ул 51;Пн-Вс (09:00-19:00);58,38972;33,91072
GO76;Адг Адыгейск;385200, Адыгея Респ, Адыгейск г, Ленина ул, дом № 2, корпус В;Пн-Вс (08:00-20:00);44,8793;39,1865
K104;Крнд Геленджик Островского2 ЕС;353460, Геленджик г, Островского ул 15;Пн-Вс (09:00-19:00);44,56128;38,08033
MV78;ТРЦ Европейский3 ЕС;121059, Москва г, Киевского вокзала пл 2;Пн-Чт (10:00-22:00), Пт-Сб (10:00-23:00), Вс (10:00-22:00);55,74463;37,56607
L194;Фрунзенская;119146, Москва г, Комсомольский пр-кт, дом № 24, строение 1;Пн-Вс (10:00-22:00);55,727984;37,580585
LP36;Хаб Вяземский вокзал;682950, Хабаровский край, Вяземский р-н, Вяземский г, Коммунистическая ул, дом № 3в;Пн-Вс (09:00-20:00);47,536214;134,75393
LT20;Збк Агинское2;687000, Забайкальский край, Агинский р-н, Агинское пгт, Ленина ул, дом № 62;Пн-Вс (09:00-20:00);51,106684;114,54503
GE03;Члб Фокус;454021, Челябинская обл, Челябинск г, Молдавская ул, дом № 16 ТЦ;Пн-Вс (10:00-22:00);55,19079;61,302837
GD68;Члб Миасс5;456300, Челябинская обл, Миасс г, Автозаводцев пр-кт, дом № 65 ТРК Слон;Пн-Вс (10:00-21:00);55,046505;60,110025
LD05;РТ Шумерля Ленина;429120, Чувашская Респ, Шумерля г, Ленина ул, дом № 6;Пн-Вс (09:00-18:00);55,498989;46,413855
GD38;Члб Киномакс2;454091, Челябинская обл, Челябинск г, Воровского ул, дом № 6 ТЦ Урал;Пн-Вс (10:00-22:00);55,157513;61,394768
L238;Голицыно3;143040, Московская обл, Одинцовский р-н, Голицыно г, Звенигородское ш, дом № 2 а строение 1;Пн-Вс (09:00-21:00);55,610802;37,003261
GL80;КБР Прохладный2;361045, Кабардино-Балкарская Респ, Прохладненский р-н, Прохладный г, Пролетарская ул, дом № 58;Пн (08:00-18:00), Ср (08:00-18:00), Пт-Вс (08:00-18:00);43,762818;44,006576
YC32;Острогожск2;397853, Воронежская обл, Острогожский р-н, Острогожск г, Крамского ул, дом № 1;Пн-Вс (08:00-18:00);50,859618;39,079006
R754;Новомосковск ТРЦ Первый ЕС;301664, Новомосковск г, Трудовые резервы ул 33Б;Пн-Вс (10:00-21:00);54,01601;38,28619
LQ33;Бур Улан-Удэ Эрдем2;670000, Бурятия Респ, Улан-Удэ г, Ленина ул, дом № 27;Пн-Вс (10:00-20:00);51,827244;107,583839
S828;Мрмск Кола ЕС;184381, Кола г, пр.Советский 40;Пн-Пт (10:00-19:00);68,87988;33,02279
LA64;РТ Елабуга Нефтяников;423600, Татарстан Респ, Елабужский р-н, Елабуга г, Нефтяников пр-кт, дом № 17;Пн-Вс (09:00-19:00);55,751704;52,015978
LT09;Тыва Кызыл Тувинская;667000, Тыва Респ, Кызыл г, Тувинских Добровольцев ул, дом № 19;Пн-Вс (09:00-21:00);51,719085;94,441869
GD05;ХМАО Ханты-Мансийск3;628001, Ханты-Мансийский Автономный округ - Югра АО, Ханты-Мансийск г, Заводская ул, дом № 24 ТЦ Меридиан;Пн-Вс (09:00-19:40);60,96705;69,039224
YO20;СКТ ТЦ Июнь;167000, Коми Респ, Сыктывкар г, Октябрьский пр-кт, дом № 131/3 ТЦ Июнь;Пн-Вс (10:00-22:00);61,690613;50,803182
YP58;СПб Заневский каскад3;195112, Санкт-Петербург г, Заневский пр-кт, дом № 67, корпус 2, литера В ТК Заневский Каскад;Пн-Вс (10:00-21:00);59,932924;30,437674
LS84;Омск ОКЕЙ;644000, Омская обл, Омск г, Энтузиастов ул, дом № 2, корпус 1;Пн-Вс (10:00-21:00);55,048385;73,29149
L332;Люберцы13;140006, Московская обл, Люберецкий р-н, Люберцы г, Октябрьский пр-кт, дом № 366 ТРЦ Орбита;Пн-Вс (10:00-22:00);55,663156;37,910585
GM18;Крнд Усть-Лабинск3;352330, Краснодарский край, Усть-Лабинский р-н, Усть-Лабинск г, Ободовского ул, дом № 27 литер к ул. Ободовского, 27, лит К;Пн-Вс (08:00-20:00);45,21512;39,690795
YA78;Вязьма4;215110, Смоленская обл, Вяземский р-н, Вязьма г, 25 Октября ул, дом № 4;Пн-Вс (09:00-20:00);55,205123;34,298114
GL81;Крнд 40 лет Победы;350072, Краснодарский край, Краснодар г, 40 лет Победы ул, дом № 81;Пн-Вс (09:00-21:00);45,055938;39,022223
R874;Кувшиново ЕС;172110, Тверская область, г. Кувшиново, Октябрьская ул., д. 28Б;Пн-Вт (09:00-19:00), Чт-Сб (09:00-19:00);57,030421;34,172021
GN52;Ствр Новоалександровск;356000, Ставропольский край, Новоалександровский р-н, Новоалександровск г, Маршала Жукова ул, дом № 1;Пн-Вс (08:00-20:00);45,489842;41,20783
YD10;Тверь17;170039, Тверская обл, Тверь г, Паши Савельевой ул, дом № 27, корпус 1;Пн-Вс (09:00-20:00);56,882569;35,841474
MX10;ТЦ Будапешт ЕС;109457, Москва г, Зеленодольская ул 40;Пн-Вс (10:00-22:00);55,70413;37,76576
GL73;КБР Нальчик Галерея;360003, Кабардино-Балкарская Респ, Нальчик г, Кирова ул, дом № 1 Д ТЦ Галерея;Пн-Вс (10:00-21:00);43,476302;43,573843
RE32;Обоянь3 ЕС;306230, Обоянь г, Ленина ул 34;Пн-Вс (09:00-19:00);51,2103;36,26995
P734;ПНЗ Плеханова ЕС;440000, Пенза г, Плеханова ул 19;Пн-Вс (09:00-21:00);53,20027;45,01209
MV44;Домодедово ТЦ Торговый Квартал ЕС;142000, Домодедово г, Каширское шоссе, строение 3А;Пн-Вс (10:00-22:00);55,45178;37,76312
YP64;СПб Каменноостровский проспект;197022, Санкт-Петербург г, Каменноостровский пр-кт, дом № 42, литера А;Пн-Вс (10:00-22:00);59,966729;30,309375
GB50;Крг Щучье;"641010, Курганская обл, Щучанский р-н, Щучье г, Советская ул, между торговым павильоном ""Евросеть"" и зданием №3 по ул.Победы между торговым павильоном ""Евросеть"" и зданием № 3 по пл. Победы";Пн-Чт (09:00-18:00), Вс (09:00-18:00);55,209487;62,751281
GM31;Кчр Черкесск4;369000, Карачаево-Черкесская Респ, Черкесск г, Ленина пр-кт, дом № 73, литера А;Пн-Вс (09:00-21:00);44,218849;42,045899
